,id,created_with,entity_type,photo_id,photo_url,first_message_read,userbot_id,name,username,access_hash,about,cheat,cheat_created,ios_ban,scam,verified,fake,hidden,blocked,language_code,birthdate,created
0,1610995496,,public_channel,5.472301631396759e+18,https://telegra.ph/file/8bfdab6f783b8dc653ee5.jpg,True,5867964785.0,PanStandUp,panstandup,-3962254009726019372,"Комики из Беларуси в Варшаве (Польша). Делаем стендап в Европе. Ближайшие мероприятия тут: 
https://linktr.ee/panstandup
Инста: @panstandup",,,False,False,False,False,False,False,be,2022-08-08 15:50:07.000000,2023-01-26 20:20:56.994689
1,1789104687,,public_channel,5.256092088657888e+18,https://telegra.ph/file/8e59a247c7bf2fefa3623.jpg,True,5393662759.0,Perusha,perushag,7057200524768072727,Продаю лс: @Laser_bs,,,False,False,False,False,False,False,ru,2023-02-16 13:03:54.000000,2023-02-18 08:30:23.964101
2,1583310759,,public_channel,5.424606925812776e+18,https://telegra.ph/file/6efc1be41c6aa362659cb.jpg,True,,اربح كاش معنا 💲,rv_j9,-8534526936928294722,,,,False,False,False,False,False,False,,2022-01-15 16:00:44.000000,2023-02-25 07:32:07.503696
3,1728446154,,public_channel,5.336846115296888e+18,https://telegra.ph/file/3d97461df8da04f0e875a.jpg,True,5577781219.0,DREAM POV,povmex,1453038383022008147,,,,True,False,False,False,False,False,ru,2023-01-13 15:04:51.000000,2023-01-26 14:44:01.349971
4,1436274540,,public_channel,5.382081896269334e+18,https://telegra.ph/file/6b5a56d9dcecc1a6512b0.jpg,True,5864209488.0,Володимир Назаренко,nazarenkovolodymyr,-4403316951522258700,@VolodymyrNazarenko_bot,,,False,False,False,False,False,False,uk,2020-01-14 12:24:58.000000,2023-01-28 21:30:48.070326
5,1164503012,,public_channel,,,True,,Tania,tania,-3016471089131185998,"To acquire the username, contact:
@Hamnam_Manager",,,False,False,False,False,False,False,,2018-08-10 15:18:21.000000,2023-03-23 16:15:02.398859
6,1437890011,,public_channel,5.271676862822726e+18,https://telegra.ph/file/dc79f14f4604e806733d4.jpg,True,,YAOII HUB,yaoiihubb,7980289215529409229,,,,True,False,False,False,False,False,,2021-05-08 08:27:06.000000,2023-02-28 10:16:52.763393
7,1513771910,,public_channel,,,True,,توبوا إلى الله,lanarhoades2022,-3154946299659446403,,,,False,False,False,False,False,False,,2022-05-09 12:26:52.000000,2023-03-05 13:19:45.809999
8,1813443710,,public_channel,5.438624651094902e+18,https://telegra.ph/file/c24f63b24c35ba6e2de68.jpg,True,,AI – Neural Network – NSFW,ai_neural_nsfw,-3562157342840645362,,,,True,False,False,False,False,False,,2023-02-17 13:54:46.000000,2023-02-27 16:31:45.968164
9,1652917150,,public_channel,5.224345751990157e+18,https://telegra.ph/file/8e21c229d0855e30cad86.jpg,True,6050293341.0,Astrolog4U |Астрология|Гороскоп,astrolog4y,-1395830427450260891,"Твой личный Астролог🫂

Реклама: @pomogachtg @kisulik31 
Закуп и ВП: @nejnaya

Менеджер: @drumtapetg",,,False,False,False,False,False,False,ru,2022-08-10 09:33:13.000000,2023-01-26 13:36:00.010200
10,1468508746,,public_channel,5.334647607437412e+18,https://telegra.ph/file/fa7ece8dfcc80681adba8.jpg,True,6167797009.0,COFFEE AND MILK,whiteblackfc,-4455611895830077918,,,,True,False,False,False,False,False,ru,2023-01-13 14:55:56.000000,2023-01-26 14:44:02.821968
11,1342977596,,public_channel,5.332368440092112e+18,https://telegra.ph/file/21e85856cb0a3dee14f4b.jpg,True,5818852150.0,IN slavery to the Mistress | BDSM & Femdom🌶,inslavemiss,-4136886833412808481,,,,True,False,False,False,False,False,ru,2020-12-25 11:53:02.000000,2023-01-26 11:51:25.719565
12,1435760549,,public_channel,5.42241611023973e+18,https://telegra.ph/file/69c919eba884187995245.jpg,True,5261573562.0,LILDRUGHILL,lildrughill1,-9151163335730950088,,,,False,False,False,False,False,False,ru,2019-07-18 23:02:22.000000,2023-01-26 20:04:41.287922
13,1526078872,,public_channel,5.29882192371684e+18,https://telegra.ph/file/f2458c59c6a84bf0b30a6.jpg,True,5512928677.0,☁️ LogsDiller | News & Free Logs,logsdiller_notify,-8745592004852626160,"💎 Logs cloud for professionals.

🌚 Ads / Реклама: @ldcads",,,False,False,False,False,False,False,ru,2022-02-21 13:55:13.000000,2023-01-30 12:10:48.998946
14,1683546660,,public_channel,5.335074905143756e+18,https://telegra.ph/file/6af08e9270259997072a9.jpg,True,6034821260.0,Новости со Stargaze | Broxa ⚛️,stargaze_news,-2370349175574024083,Creator - @write_broxa,,,False,False,False,False,False,False,ru,2023-01-13 01:31:11.000000,2023-01-26 22:29:41.479752
15,1753511109,,public_channel,5.422891455745212e+18,https://telegra.ph/file/51352a5150774db36d589.jpg,True,6049698112.0,Древнерусское искусство.,fadeevaart,1281601389105761915,"Авторский блог искусствоведа. 

Общение — @Fadeeva_art",,,False,False,False,False,False,False,ru,2022-02-25 18:35:44.000000,2023-01-29 16:09:23.299788
16,1823753758,,public_channel,5.226901871711604e+18,https://telegra.ph/file/07219c0d9d48161cf3253.jpg,True,5314750066.0,ғʀᴇᴇᴅᴏᴍ,fmfreedom,-8348311150445590874,owners: @dantrop × @m63cl,,,False,False,False,False,False,False,ru,2022-11-20 18:26:34.000000,2023-02-05 15:31:04.819092
17,1198416434,,public_channel,5.420506241362412e+18,https://telegra.ph/file/50198f2162a67f17e240f.jpg,True,5864209488.0,Китогуд,aliexpressx8,-822686457263237722,,,,False,False,False,False,False,False,ru,2020-09-13 13:04:11.000000,2023-01-26 12:45:23.217210
18,1644400181,,public_channel,5.249460405749792e+18,https://telegra.ph/file/3755810a132594b88b966.jpg,True,,ОТТЯЖКА SICO / Оттяжка Сико!,sico_settings,-3527972174729232049,,,,False,False,False,False,False,False,kk,2022-03-17 09:55:40.000000,2023-03-05 16:04:08.998189
